,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
21351,62220,19167.0,35.4,50526.0,27218.0,2679.0
21352,62221,29031.0,38.0,59562.0,34926.0,3051.0
21353,62223,16665.0,43.8,54686.0,31166.0,1925.0
21354,62225,5239.0,22.8,55720.0,20831.0,313.0
21355,62226,28914.0,41.3,53013.0,31315.0,3997.0
21356,62230,6242.0,40.7,69673.0,37157.0,202.0
21357,62231,7397.0,42.1,56364.0,28252.0,829.0
21358,62232,6988.0,37.6,49387.0,33429.0,1025.0
21359,62233,9729.0,40.6,45661.0,16810.0,818.0
21360,62234,32056.0,38.5,54091.0,28734.0,3883.0
21361,62236,13293.0,41.9,89063.0,43947.0,875.0
21362,62237,2397.0,47.5,51111.0,26624.0,240.0
21363,62238,681.0,37.4,43594.0,18613.0,91.0
21364,62239,5083.0,38.1,45597.0,23270.0,700.0
21365,62240,1690.0,28.4,42700.0,18802.0,362.0
21366,62241,1010.0,43.3,56771.0,26831.0,30.0
21367,62242,1318.0,48.6,51458.0,27247.0,248.0
21368,62243,5724.0,48.5,77904.0,38864.0,336.0
21369,62244,1035.0,52.3,69803.0,37716.0,48.0
21370,62245,1723.0,39.9,63370.0,30797.0,113.0
21371,62246,10092.0,38.1,58532.0,24366.0,1443.0
21372,62248,351.0,34.5,47083.0,22823.0,37.0
21373,62249,15520.0,40.4,62677.0,33239.0,1799.0
21374,62250,509.0,36.5,38750.0,23102.0,62.0
21375,62253,574.0,54.4,32500.0,25336.0,134.0
21376,62254,5975.0,44.3,63894.0,31250.0,727.0
21377,62255,1364.0,35.6,62847.0,24053.0,66.0
21378,62257,2666.0,49.3,48542.0,27725.0,348.0
21379,62258,9468.0,37.2,76194.0,30290.0,734.0
21380,62260,7282.0,42.1,72288.0,33367.0,420.0
21381,62261,126.0,61.3,45795.0,34517.0,0.0
21382,62262,1556.0,49.1,37222.0,23319.0,316.0
21383,62263,4955.0,46.0,47467.0,29606.0,533.0
21384,62264,3613.0,42.2,62330.0,29336.0,426.0
21385,62265,4586.0,40.2,76156.0,34412.0,268.0
21386,62266,173.0,43.7,-666666666.0,21618.0,0.0
21387,62268,674.0,38.1,70000.0,36430.0,27.0
21388,62269,31681.0,37.3,80179.0,39619.0,2537.0
21389,62271,2062.0,42.1,60938.0,33231.0,132.0
21390,62272,1718.0,41.8,42853.0,22172.0,178.0
21391,62273,336.0,35.8,-666666666.0,26153.0,66.0
21392,62274,7911.0,40.6,42785.0,21246.0,793.0
21393,62275,3520.0,45.5,64583.0,27754.0,260.0
21394,62277,1383.0,43.1,51995.0,24182.0,155.0
21395,62278,6603.0,41.6,60651.0,29961.0,410.0
21396,62279,6.0,-666666666.0,-666666666.0,,6.0
21397,62280,403.0,49.1,82386.0,32515.0,74.0
21398,62281,2842.0,32.6,95532.0,37491.0,90.0
21399,62282,435.0,47.8,62500.0,30795.0,33.0
21400,62284,557.0,51.1,49000.0,22988.0,53.0
21401,62285,4392.0,43.2,71688.0,34155.0,136.0
21402,62286,6243.0,44.1,48539.0,29014.0,922.0
21403,62288,3087.0,38.3,58824.0,28452.0,232.0
21404,62289,378.0,38.6,43068.0,18465.0,103.0
21405,62292,798.0,46.5,37614.0,22730.0,144.0
21406,62293,4581.0,43.1,69635.0,36473.0,250.0
21407,62294,14089.0,37.4,79851.0,34094.0,604.0
21408,62295,1460.0,38.1,81607.0,34352.0,45.0
21409,62297,280.0,53.3,62031.0,35770.0,0.0
21410,62298,16983.0,42.9,71301.0,33397.0,776.0
21411,62301,32219.0,38.8,38466.0,23910.0,5954.0
21412,62305,19606.0,45.5,62211.0,34315.0,1489.0
21413,62311,672.0,44.1,61094.0,26414.0,113.0
21414,62312,2395.0,37.7,41903.0,21978.0,290.0
21415,62313,379.0,44.9,53523.0,27937.0,36.0
21416,62314,638.0,37.6,37500.0,21355.0,69.0
21417,62316,537.0,38.4,55938.0,22378.0,106.0
21418,62319,196.0,60.4,34722.0,28535.0,31.0
21419,62320,2043.0,47.3,51604.0,24339.0,97.0
21420,62321,3982.0,47.3,51961.0,28117.0,268.0
21421,62323,191.0,55.6,50938.0,27663.0,4.0
21422,62324,1054.0,42.9,39625.0,20623.0,194.0
21423,62325,507.0,36.2,53929.0,17865.0,105.0
21424,62326,2470.0,41.2,44756.0,24610.0,403.0
21425,62330,1841.0,46.7,47714.0,24460.0,190.0
21426,62334,134.0,48.5,30938.0,20737.0,54.0
21427,62336,10.0,71.0,38750.0,31640.0,0.0
21428,62338,1290.0,40.5,62375.0,27978.0,68.0
21429,62339,827.0,50.6,49107.0,28166.0,80.0
21430,62340,1923.0,35.8,49922.0,22851.0,235.0
21431,62341,3489.0,46.3,52558.0,26022.0,418.0
21432,62343,881.0,32.4,43878.0,20478.0,41.0
21433,62344,46.0,41.9,78625.0,34528.0,0.0
21434,62345,393.0,49.4,50833.0,22209.0,14.0
21435,62346,165.0,46.5,52813.0,25951.0,4.0
21436,62347,2059.0,41.3,64861.0,29400.0,75.0
21437,62348,168.0,42.7,58224.0,25124.0,5.0
21438,62349,550.0,43.1,50865.0,24826.0,32.0
21439,62351,1833.0,45.8,66250.0,28288.0,92.0
21440,62352,255.0,44.5,42500.0,20720.0,85.0
21441,62353,5521.0,37.5,54375.0,20104.0,510.0
21442,62354,1607.0,54.2,50726.0,29242.0,84.0
21443,62355,844.0,50.7,41375.0,23095.0,196.0
21444,62356,378.0,51.5,35417.0,18938.0,46.0
21445,62357,362.0,32.0,21734.0,12794.0,45.0
21446,62358,845.0,42.0,56406.0,24682.0,111.0
21447,62359,231.0,35.9,48750.0,21496.0,0.0
21448,62360,1879.0,36.2,55185.0,23918.0,160.0
21449,62361,513.0,32.9,44063.0,15733.0,129.0
21450,62362,292.0,53.5,32222.0,23880.0,40.0
21451,62363,5853.0,44.0,39708.0,25758.0,687.0
21452,62365,640.0,43.2,49286.0,25587.0,75.0
