State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
MO,Elmo,345,39.2,41827.0,24808.0,72
MO,Elsberry,4573,39.3,47788.0,20593.0,814
MO,Eminence,1613,44.4,30451.0,19343.0,469
MO,Emma,272,45.5,48281.0,22571.0,23
MO,Eolia,1455,41.3,51546.0,25275.0,147
MO,Essex,1688,36.5,35035.0,16446.0,484
MO,Ethel,202,52.2,45208.0,20472.0,66
MO,Eugene,2028,35.8,64784.0,23346.0,235
MO,Eureka,14041,42.5,98590.0,39922.0,674
MO,Everton,1884,45.9,49323.0,23082.0,269
MO,Ewing,1048,46.0,46319.0,22220.0,92
MO,Excello,541,52.8,31786.0,17035.0,54
MO,Excelsior Springs,17082,37.9,55441.0,24851.0,2226
MO,Exeter,1893,46.3,36154.0,17965.0,263
MO,Fair Grove,6221,37.3,55854.0,23754.0,546
MO,Fair Play,1436,57.7,33906.0,27090.0,380
MO,Fairdealing,1373,38.3,30192.0,16525.0,330
MO,Fairfax,983,52.1,42784.0,27412.0,158
MO,Fairview,738,43.0,43646.0,21447.0,170
MO,Falcon,1054,50.8,40800.0,19330.0,138
MO,Farber,725,30.6,53264.0,15804.0,57
MO,Farmington,28501,39.8,47557.0,23468.0,3140
MO,Farrar,87,51.6,64559.0,29582.0,5
MO,Faucett,856,52.9,69318.0,36559.0,29
MO,Fayette,4384,34.1,46860.0,20990.0,756
MO,Fenton,44534,39.4,75991.0,35638.0,2909
MO,Festus,26259,43.0,54302.0,26638.0,2444
MO,Fillmore,573,42.4,40735.0,23017.0,103
MO,Fisk,1301,41.9,51290.0,25831.0,147
MO,Flemington,1421,55.4,40980.0,20754.0,149
MO,Fletcher,223,50.9,60313.0,21557.0,36
MO,Florence,372,53.3,77228.0,36942.0,16
MO,Florissant,109353,40.666666666666664,63175.333333333336,29377.333333333332,10162
MO,Foley,2966,35.0,47292.0,19172.0,795
MO,Fordland,4171,40.5,46071.0,19292.0,564
MO,Forest City,392,48.2,40156.0,22783.0,55
MO,Foristell,6228,46.0,90600.0,38677.0,173
MO,Forsyth,6148,47.9,34085.0,19559.0,1401
MO,Fort Leonard Wood,16307,20.7,49685.0,19541.0,591
MO,Fortuna,950,25.9,48824.0,13827.0,239
MO,Foster,192,49.7,112059.0,44534.0,10
MO,Frankford,1142,44.3,45167.0,21458.0,266
MO,Franklin,626,43.5,52000.0,23813.0,85
MO,Fredericktown,11345,41.8,38705.0,20014.0,1915
MO,Freeburg,2012,37.5,64420.0,25623.0,65
MO,Freeman,1412,43.7,59125.0,29317.0,64
MO,Freistatt,178,44.6,33500.0,20470.0,29
