Zipcode,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount,City,State,Latitude,Longitude,Timezone,DaylightSavingsTimeFlag,geopoint
40906,11651,40.1,28125,18050,3397,Barbourville,KY,36.853913,-83.88501,-5,1,36.853913
40915,673,55.2,31587,21621,110,Bimble,KY,36.887081,-83.81552,-5,1,36.887081
40921,322,45.1,25893,15566,116,Bryants Store,KY,36.72179,-83.90657,-5,1,36.72179
40923,601,46,29362,16252,134,Cannon,KY,36.920165,-83.85699,-5,1,36.920165
40927,238,33.6,33750,17287,80,Closplint,KY,36.889259,-83.05265,-5,1,36.889259
40935,2768,44.6,20021,11873,1133,Flat Lick,KY,36.867971,-83.74576,-5,1,36.867971
40939,197,54.3,13566,8560,48,Fourmile,KY,36.871254,-83.829985,-5,1,36.871254
40940,544,32.7,27241,13605,207,Frakes,KY,36.607234,-83.92535,-5,1,36.607234
40943,608,53.4,24224,12639,310,Girdler,KY,36.947113,-83.8506,-5,1,36.947113
40946,171,47.4,42917,17526,30,Green Road,KY,36.966634,-83.83413,-5,1,36.966634
40949,854,44.2,37955,17974,126,Heidrick,KY,36.897618,-83.87252,-5,1,36.897618
40953,768,28.5,32750,11440,308,Hinkle,KY,36.943114,-83.81984,-5,1,36.943114
40962,18403,38.7,24739,15371,6619,Manchester,KY,37.164346,-83.76674,-5,1,37.164346
40965,12791,42,23204,15798,5030,Middlesboro,KY,36.617181,-83.72186,-5,1,36.617181
40977,9991,40.7,24211,14268,3386,Pineville,KY,36.750028,-83.72023,-5,1,36.750028
40988,473,41,22742,11302,169,Stoney Fork,KY,36.842522,-83.51851,-5,1,36.842522
40995,175,48.3,19167,7059,97,Trosper,KY,36.78737,-83.81508,-5,1,36.78737
40997,384,42.1,12609,5580,255,Walker,KY,36.888893,-83.66257,-5,1,36.888893
41001,16981,39.4,74619,32113,1488,Alexandria,KY,38.946893,-84.38652,-5,1,38.946893
41002,2488,39.3,36700,21171,615,Augusta,KY,38.76189,-83.99683,-5,1,38.76189
41003,2399,41.4,38021,20486,407,Berry,KY,38.535065,-84.38904,-5,1,38.535065
41004,4116,40.2,41375,23478,887,Brooksville,KY,38.677837,-84.09411,-5,1,38.677837
41005,24352,36.2,78194,30688,2142,Burlington,KY,39.020466,-84.74158,-5,1,39.020466
41006,4190,41,61708,26648,491,Butler,KY,38.796981,-84.33792,-5,1,38.796981
41007,4177,43.1,62283,29926,427,California,KY,38.910255,-84.28194,-5,1,38.910255
41008,6951,36.8,45833,23175,1892,Carrollton,KY,38.663328,-85.16803,-5,1,38.663328
41010,3621,43.5,43964,25396,381,Corinth,KY,38.484843,-84.61017,-5,1,38.484843
41011,26066,36.1,42323,29911,6089,Covington,KY,39.0752,-84.52064,-5,1,39.0752
41014,6874,36,34990,20927,1789,Covington,KY,39.067811,-84.5039,-5,1,39.067811
41015,20383,41.3,49365,26036,2902,Latonia,KY,39.013062,-84.49419,-5,1,39.013062
41016,6164,36.4,45164,23737,1546,Covington,KY,39.087593,-84.55057,-5,1,39.087593
41017,39334,38,74593,39589,2541,Ft Mitchell,KY,39.036361,-84.56801,-5,1,39.036361
41018,27606,36.3,53735,26460,3562,Erlanger,KY,39.013755,-84.60229,-5,1,39.013755
41030,5722,42.1,50067,24143,1078,Crittenden,KY,38.788439,-84.602,-5,1,38.788439
41031,15960,41.9,45390,22691,2772,Cynthiana,KY,38.397678,-84.2939,-5,1,38.397678
